file name | last modified | file size
/Users/sameernair-desai/Desktop/IndRes/CJD_Epi/analysis/output/male_age_specific_deaths_plot.pdf | 2023-09-29 15:26:15 | 5069
/Users/sameernair-desai/Desktop/IndRes/CJD_Epi/analysis/output/raw_deaths_by_gender_plot.eps | 2023-09-29 15:26:12 | 9231
/Users/sameernair-desai/Desktop/IndRes/CJD_Epi/analysis/output/agespef_deaths_females.csv | 2023-09-29 15:26:16 | 2011
/Users/sameernair-desai/Desktop/IndRes/CJD_Epi/analysis/output/agespef_deaths_males.csv | 2023-09-29 15:26:15 | 1929
/Users/sameernair-desai/Desktop/IndRes/CJD_Epi/analysis/output/female_age_specific_deaths_plot.eps | 2023-09-29 15:26:16 | 10005
/Users/sameernair-desai/Desktop/IndRes/CJD_Epi/analysis/output/raw_deaths_gender.RDS | 2023-09-29 15:26:12 | 367
/Users/sameernair-desai/Desktop/IndRes/CJD_Epi/analysis/output/ageadj_deaths_gender.csv | 2023-09-29 15:26:13 | 1059
/Users/sameernair-desai/Desktop/IndRes/CJD_Epi/analysis/output/age_adj_deaths_by_gender_plot.pdf | 2023-09-29 15:26:13 | 4929
/Users/sameernair-desai/Desktop/IndRes/CJD_Epi/analysis/output/raw_deaths_gender.csv | 2023-09-29 15:26:12 | 832
/Users/sameernair-desai/Desktop/IndRes/CJD_Epi/analysis/output/agespef_deaths_females.RDS | 2023-09-29 15:26:16 | 715
/Users/sameernair-desai/Desktop/IndRes/CJD_Epi/analysis/output/ageadj_deaths_gender.RDS | 2023-09-29 15:26:13 | 550
/Users/sameernair-desai/Desktop/IndRes/CJD_Epi/analysis/output/t_tests_agegroup.csv | 2023-09-29 15:26:16 | 703
/Users/sameernair-desai/Desktop/IndRes/CJD_Epi/analysis/output/male_age_specific_deaths_plot.eps | 2023-09-29 15:26:15 | 10043
/Users/sameernair-desai/Desktop/IndRes/CJD_Epi/analysis/output/t_tests_gender.csv | 2023-09-29 15:26:17 | 565
/Users/sameernair-desai/Desktop/IndRes/CJD_Epi/analysis/output/raw_deaths_by_gender_plot.pdf | 2023-09-29 15:26:12 | 4927
/Users/sameernair-desai/Desktop/IndRes/CJD_Epi/analysis/output/agespef_deaths_males.RDS | 2023-09-29 15:26:15 | 705
/Users/sameernair-desai/Desktop/IndRes/CJD_Epi/analysis/output/age_adj_deaths_by_gender_plot.eps | 2023-09-29 15:26:13 | 9235
/Users/sameernair-desai/Desktop/IndRes/CJD_Epi/analysis/output/t_tests_gender_age.csv | 2023-09-29 15:26:17 | 811
/Users/sameernair-desai/Desktop/IndRes/CJD_Epi/analysis/output/female_age_specific_deaths_plot.pdf | 2023-09-29 15:26:16 | 5053
